"column"	"row"	"left-p-value"	"p-value-log-sum"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"	"mean-group1"	"mean-group2"	"N"	"N-group1"	"N-group2"	"U1"	"U2"
No VS Yes	LARP1	0.9965291030594472	2.458048267948334	0.003470896940552859	0.006941793881105718	1	0.029629856287241563	0.028611030322672173	0.023731218697829744	-0.06057377049180328	843	599	244	81733.5	64422.5
No VS Yes	LARP1B	0.999953029143237	4.32815111841566	4.697085676297341E-5	9.394171352594682E-5	1	8.344595887176192E-4	7.617390754151287E-4	0.054090150250417315	-0.10643442622950822	843	599	244	85600.5	60555.5
No VS Yes	LARP4	0.5415460727903147	0.07233971340770978	0.4584539272096852	0.9169078544193704	1	1	1	0.002696160267111892	-0.008483606557377059	843	599	244	73412.5	72743.5
No VS Yes	LARP4B	0.9999999999776934	10.651567681459836	2.2306545499617414E-11	4.461309099923483E-11	1	4.022482103059328E-9	3.680489697536065E-9	0.1323873121869783	-0.1003893442622951	843	599	244	94200	51956
No VS Yes	LARP6	0.9703762672418533	1.5153003851310818	0.02962373275814667	0.05924746551629334	1	0.1729140081388584	0.1704242807489426	-0.017295492487479098	-0.18280737704918032	843	599	244	79126	67030
No VS Yes	LARP7	0.31284335753615505	-0.3417288107703246	0.6871566424638449	0.6256867150723101	0.986201902307276	1	1	-0.0021035058430717473	-9.426229508196665E-4	843	599	244	71514	74642
No VS Yes	LARS	0.8096866655878743	0.6288477686663703	0.19031333441212578	0.38062666882425156	1	0.7188164625237974	0.7469931263249325	0.005292153589315513	-0.012500000000000006	843	599	244	75889	70267
No VS Yes	LARS2	0.5158604999262295	0.027561757288544264	0.4841395000737705	0.968279000147541	1	1	1	-0.016886477462437405	-0.034631147540983606	843	599	244	73205.5	72950.5
No VS Yes	LAS1L	0.7871538709919723	0.5679938793700743	0.21284612900802768	0.42569225801605537	1	0.7803464503052501	0.812127248534141	0.0285141903171953	0.01950819672131146	843	599	244	75632	70524
No VS Yes	LASP1	0.0016053934653675328	-2.7937207353444267	0.9983946065346325	0.0032107869307350656	0.013158931071518188	1	0.015030141347941289	0.04202838063439065	0.1470901639344262	843	599	244	63630	82526
